feature,coef
country_of_citizenship_Colombia,1.3180304823630034
country_of_birth_Curacao,1.2580314968717328
country_of_citizenship_Mexico,1.1378361029367687
country_of_birth_Niger,1.1242530891006643
country_of_citizenship_Unknown,1.1044156214239045
country_of_birth_Palestine,0.9679363058068591
country_of_citizenship_Paraguay,0.9534176526183428
country_of_citizenship_Kenya,0.9189895435308367
country_of_birth_Liechtenstein,0.8967444852331965
player_club_domestic_competition_id_GB1,0.8776479599026479
country_of_citizenship_Chile,0.8732563022692948
country_of_birth_Jordan,0.7828683424827255
country_of_citizenship_Tahiti,0.7575715959995046
country_of_birth_Tahiti,0.7575715959056721
"country_of_birth_Korea, North",0.7567304242461742
"country_of_citizenship_Korea, North",0.7567304242461648
country_of_birth_Qatar,0.7105469853622112
country_of_birth_Montserrat,0.6780820773769427
country_of_citizenship_Seychelles,0.675560174726669
country_of_birth_Thailand,0.6399906524982991
"country_of_citizenship_Korea, South",0.6384287658416921
country_of_birth_Mozambique,0.6216654098315254
country_of_birth_French Guiana,0.6204602884712462
country_of_birth_Chad,0.6098093277129099
country_of_birth_Brazil,0.6096576012528425
country_of_citizenship_Singapore,-1.7334490373496303
country_of_birth_Macao,-1.7284621905149373
country_of_citizenship_Somalia,-1.3404488848199754
country_of_citizenship_Monaco,-1.2880039193905188
country_of_citizenship_Bahrain,-1.209048684240747
country_of_citizenship_United Arab Emirates,-1.19275363402416
country_of_birth_Cuba,-1.1683912007354444
country_of_birth_Guernsey,-1.1077966068156113
country_of_birth_Hongkong,-1.0953807304019962
country_of_citizenship_Turkmenistan,-1.0104532036070857
country_of_birth_Malawi,-0.945177923092746
country_of_birth_Dominican Republic,-0.9411433057858739
country_of_citizenship_St. Lucia,-0.9241449506669349
country_of_birth_Unknown,-0.8696351977180448
country_of_citizenship_Liechtenstein,-0.8694612575185239
country_of_birth_Neukaledonien,-0.8650214357069109
country_of_citizenship_Niger,-0.8389918578606641
country_of_citizenship_Montserrat,-0.7866910776525738
country_of_citizenship_Southern Sudan,-0.7846304055082242
country_of_birth_Afghanistan,-0.7823446954965982
country_of_birth_Serbia and Montenegro,-0.7645202520312832
country_of_citizenship_Chad,-0.722960779388924
country_of_birth_Indonesia,-0.6850421075540017
country_of_birth_Lebanon,-0.6815542593397783
country_of_birth_Ethiopia,-0.665830201782684
