date,player_id,position,domestic_competition_id,actual_eur,pred_eur,signed_err_eur,abs_err_eur
2022-06-09,344381,Attack,Unknown,80000000,216327463.58020717,136327463.58020717,136327463.58020717
2022-11-09,344381,Attack,Unknown,80000000,190675154.66747934,110675154.66747934,110675154.66747934
2022-06-03,18922,Attack,Unknown,30000000,115311212.97491282,85311212.97491282,85311212.97491282
2022-11-02,28003,Attack,Unknown,50000000,123017088.09535724,73017088.09535724,73017088.09535724
2023-12-19,148455,Attack,Unknown,65000000,133297185.61803398,68297185.61803398,68297185.61803398
2022-09-14,36139,Midfield,Unknown,8500000,69123924.87250857,60623924.87250857,60623924.87250857
2024-12-23,56416,Attack,Unknown,1800000,60845078.02859311,59045078.02859311,59045078.02859311
2024-03-15,68863,Attack,Unknown,18000000,71295208.26349232,53295208.263492316,53295208.263492316
2023-12-21,36139,Midfield,Unknown,5000000,57948061.42122724,52948061.42122724,52948061.42122724
2023-06-20,88755,Midfield,Unknown,70000000,122628893.02744922,52628893.02744922,52628893.02744922
2024-05-31,68863,Attack,Unknown,17000000,68694015.41949496,51694015.41949496,51694015.41949496
2025-03-20,36139,Midfield,Unknown,2500000,53236626.70196094,50736626.70196094,50736626.70196094
2024-05-31,72522,Attack,Unknown,3500000,53225289.38068202,49725289.38068202,49725289.38068202
2022-11-03,88755,Midfield,Unknown,80000000,129704342.48045076,49704342.480450764,49704342.480450764
2023-06-20,148455,Attack,Unknown,65000000,113479854.35726677,48479854.35726677,48479854.35726677
2023-03-16,148455,Attack,Unknown,70000000,118448033.69104297,48448033.691042975,48448033.691042975
2025-03-20,56416,Attack,Unknown,1500000,48543108.43782541,47043108.43782541,47043108.43782541
2024-12-23,36139,Midfield,Unknown,3000000,48472703.251828596,45472703.251828596,45472703.251828596
2022-06-08,36139,Midfield,Unknown,12000000,56800171.671908654,44800171.671908654,44800171.671908654
2024-05-31,56416,Attack,Unknown,1800000,46424351.893496566,44624351.893496566,44624351.893496566
2024-12-27,38253,Attack,Unknown,15000000,59076655.08603357,44076655.08603357,44076655.08603357
2024-12-16,148455,Attack,Unknown,55000000,98364264.54221106,43364264.542211056,43364264.542211056
2023-06-23,36139,Midfield,Unknown,6000000,49107339.51506596,43107339.51506596,43107339.51506596
2023-12-22,125781,Attack,Unknown,25000000,67093863.58350573,42093863.58350573,42093863.58350573
2024-03-21,38253,Attack,Unknown,15000000,55743440.72524737,40743440.72524737,40743440.72524737
2022-11-03,148455,Attack,Unknown,80000000,120272098.16157477,40272098.161574766,40272098.161574766
2023-09-27,36139,Midfield,Unknown,5500000,45652713.03103235,40152713.03103235,40152713.03103235
2024-06-03,58864,Attack,Unknown,5000000,44630976.23121975,39630976.23121975,39630976.23121975
2024-03-21,53622,Midfield,Unknown,16000000,55622870.86846271,39622870.86846271,39622870.86846271
2025-03-18,324358,Attack,Unknown,50000000,87669318.45854957,37669318.458549574,37669318.458549574
2023-06-13,125781,Attack,Unknown,25000000,62591817.17933302,37591817.17933302,37591817.17933302
2023-12-21,68863,Attack,Unknown,20000000,56942227.15993456,36942227.15993456,36942227.15993456
2022-11-11,434675,Attack,Unknown,45000000,80522838.94189613,35522838.941896126,35522838.941896126
2022-11-11,36139,Midfield,Unknown,7000000,42316826.81729346,35316826.81729346,35316826.81729346
2024-10-04,36139,Midfield,Unknown,3200000,38478508.15512524,35278508.15512524,35278508.15512524
2024-10-04,56416,Attack,Unknown,1800000,36625796.50778194,34825796.50778194,34825796.50778194
2025-03-18,91845,Attack,Unknown,30000000,64127419.58542022,34127419.58542022,34127419.58542022
2023-06-27,28003,Attack,Unknown,35000000,68280867.75611493,33280867.75611493,33280867.75611493
2022-11-03,29241,Defender,Unknown,2500000,34586410.16860499,32086410.168604992,32086410.168604992
2024-05-31,36139,Midfield,Unknown,3500000,33856611.91844434,30356611.918444343,30356611.918444343
2024-03-15,36139,Midfield,Unknown,4000000,33935738.57217605,29935738.572176047,29935738.572176047
2023-12-15,72522,Attack,Unknown,3500000,32903639.125973627,29403639.125973627,29403639.125973627
2024-06-05,82442,Attack,Unknown,3000000,32143054.40453508,29143054.40453508,29143054.40453508
2022-12-08,430485,Attack,Unknown,250000,28723429.96244779,28473429.96244779,28473429.96244779
2023-03-27,28003,Attack,Unknown,45000000,73450842.767051,28450842.767050996,28450842.767050996
2024-05-30,406634,Midfield,Unknown,20000000,47460924.31453969,27460924.314539693,27460924.314539693
2024-06-07,53622,Midfield,Unknown,15000000,42425680.87760069,27425680.877600692,27425680.877600692
2023-06-20,171424,Attack,Unknown,20000000,46671166.20507961,26671166.205079608,26671166.205079608
2024-06-07,38253,Attack,Unknown,15000000,41264877.6138273,26264877.613827303,26264877.613827303
2022-06-15,29241,Defender,Unknown,2500000,28485468.795914486,25985468.795914486,25985468.795914486
