date,player_id,position,domestic_competition_id,actual_eur,pred_eur,signed_err_eur,abs_err_eur
2023-12-22,581678,Midfield,Unknown,180000000,17459186.118318655,-162540813.88168135,162540813.88168135
2024-10-11,371998,Attack,Unknown,200000000,40535680.13884488,-159464319.86115512,159464319.86115512
2024-12-27,581678,Midfield,Unknown,180000000,20625840.825264223,-159374159.17473578,159374159.17473578
2024-06-07,581678,Midfield,Unknown,180000000,25356750.796865687,-154643249.2031343,154643249.2031343
2024-12-27,937958,Attack,Unknown,180000000,25446967.06735342,-154553032.93264657,154553032.93264657
2024-06-07,371998,Attack,Unknown,180000000,26695721.320235644,-153304278.67976436,153304278.67976436
2024-12-27,371998,Attack,Unknown,200000000,47825146.648283154,-152174853.35171685,152174853.35171685
2024-10-01,418560,Attack,Unknown,200000000,49055064.781846054,-150944935.21815395,150944935.21815395
2024-12-16,418560,Attack,Unknown,200000000,51207949.19365391,-148792050.8063461,148792050.8063461
2023-12-18,342229,Attack,Unknown,180000000,32110213.400145963,-147889786.59985405,147889786.59985405
2024-06-03,342229,Attack,Unknown,180000000,34345617.2667703,-145654382.7332297,145654382.7332297
2023-06-27,342229,Attack,Unknown,180000000,35570183.66984196,-144429816.33015805,144429816.33015805
2023-10-13,581678,Midfield,Unknown,150000000,13103680.869952636,-136896319.13004735,136896319.13004735
2024-10-11,937958,Attack,Unknown,150000000,18110225.978897344,-131889774.02110265,131889774.02110265
2024-12-27,342229,Attack,Unknown,160000000,29021644.91640165,-130978355.08359835,130978355.08359835
2022-11-03,418560,Attack,Unknown,170000000,41705386.97386823,-128294613.02613178,128294613.02613178
2022-12-23,342229,Attack,Unknown,180000000,51706894.30992966,-128293105.69007033,128293105.69007033
2024-12-20,580195,Midfield,Unknown,140000000,13404426.683710653,-126595573.31628935,126595573.31628935
2022-06-09,418560,Attack,Unknown,150000000,23871247.648641445,-126128752.35135856,126128752.35135856
2024-07-18,580195,Midfield,Unknown,130000000,7848535.611162731,-122151464.38883726,122151464.38883726
2024-12-20,598577,Midfield,Unknown,140000000,21923673.20602423,-118076326.79397577,118076326.79397577
2024-12-16,357565,Midfield,Unknown,130000000,12036399.70827503,-117963600.29172496,117963600.29172496
2025-03-21,342229,Attack,Unknown,170000000,55247605.11330748,-114752394.88669252,114752394.88669252
2024-05-27,418560,Attack,Unknown,180000000,65684098.21345688,-114315901.78654313,114315901.78654313
2024-05-29,580195,Midfield,Unknown,120000000,8288555.537896343,-111711444.46210366,111711444.46210366
2023-12-22,371998,Attack,Unknown,150000000,40430110.62034449,-109569889.37965551,109569889.37965551
2023-03-29,581678,Midfield,Unknown,120000000,11717979.538406821,-108282020.46159318,108282020.46159318
2023-06-22,581678,Midfield,Unknown,120000000,12509505.143183127,-107490494.85681687,107490494.85681687
2024-07-18,937958,Attack,Unknown,120000000,13468533.280473491,-106531466.71952651,106531466.71952651
2023-06-15,401923,Attack,Unknown,120000000,16504562.5253906,-103495437.4746094,103495437.4746094
2023-12-14,580195,Midfield,Unknown,110000000,7626661.567987173,-102373338.43201283,102373338.43201283
2024-10-11,369081,Midfield,Unknown,130000000,28230147.005517982,-101769852.99448201,101769852.99448201
2024-12-16,406635,Attack,Unknown,140000000,39996547.79428496,-100003452.20571503,100003452.20571503
2025-03-21,683840,Midfield,Unknown,120000000,20141613.441720914,-99858386.55827908,99858386.55827908
2024-05-29,598577,Midfield,Unknown,130000000,31627824.703291513,-98372175.2967085,98372175.2967085
2024-12-27,369081,Midfield,Unknown,130000000,31742137.114459753,-98257862.88554025,98257862.88554025
2022-12-23,581678,Midfield,Unknown,110000000,13710778.419696806,-96289221.58030319,96289221.58030319
2023-06-13,683840,Midfield,Unknown,100000000,5071912.339829518,-94928087.66017048,94928087.66017048
2023-12-20,401923,Attack,Unknown,110000000,15212946.581138276,-94787053.41886172,94787053.41886172
2023-03-29,580195,Midfield,Unknown,110000000,15269056.002661018,-94730943.99733898,94730943.99733898
2022-11-07,683840,Midfield,Unknown,100000000,5402059.668162141,-94597940.33183786,94597940.33183786
2024-06-07,413112,Midfield,Unknown,100000000,6217851.811365531,-93782148.18863447,93782148.18863447
2024-06-05,401923,Attack,Unknown,100000000,6822331.943803501,-93177668.0561965,93177668.0561965
2024-06-07,640428,Midfield,Unknown,100000000,8183533.599241053,-91816466.40075895,91816466.40075895
2023-06-22,580195,Midfield,Unknown,110000000,20555752.121640515,-89444247.87835948,89444247.87835948
2024-07-18,357565,Midfield,Unknown,130000000,40600719.528370164,-89399280.47162983,89399280.47162983
2024-06-07,369081,Midfield,Unknown,120000000,30936013.143213768,-89063986.85678624,89063986.85678624
2024-06-07,646740,Midfield,Unknown,90000000,1247332.7605104372,-88752667.23948956,88752667.23948956
2023-12-22,683840,Midfield,Unknown,90000000,3149736.994667061,-86850263.00533293,86850263.00533293
2023-12-19,357662,Midfield,Unknown,110000000,23217640.2267449,-86782359.7732551,86782359.7732551
